"The floor creaks, the roof leaks, there’s a TERRIBLE draft",
I listen public radio,
No one's taken a break at the Krusty Krab since the chum famine of 59,
Can you move it along I'm all out of time cards,
"We're not cavemen, we have technology",
Hi how are ya,
What is going on here AHHHHH,
Felicitations malefactors I am endeavoring to misappropriate the formulary for the preparation of affordable comestibles,
Yeeeeeees,
Oh my Neptune he's mixing garbage and recycling,
They have it! Canned Bread!,
That's not what I meant you barnacle head! Oooh good one,
You used me... for land development,
I dont even know how that happened,
I'll be over there faster than a barefoot jackrabbit on a hot greasy griddle in the middle of August,
You've had your blinker on for the past 5 blocks,
For clamming out loud,
No spongebob that's Italian,
Yes you porous kitchen utensil,
Pardon me young lady… what a fox,
The customer? I'll boil the customer in hot oil I'll rip his…,
She is so tacky,
What do you want? Can't you see I'm walking heeeeeere,
"Hey pencil neck, yeah you, slither over here. Surrender that icecream cone or every waking moment for you will become a swirling torrent of pain and misery.",
What you have a job?,
"Dude put that thing away, there are like children here.",
Put the money in the bag. PUT IT IN!,
I got dead again,
"Dude, we're falling right out of the sky. We gotta drop the load!",
I thought the Corps would help me straighten out my life sir,
"Here you go sir, a king size, ultra krabby supreme, with the works, double batter fried, on a stick. Thanks. Barnacle head. Pardon me? You forgot your mayonnaise. Thanks.",
I hate your life too dude,
"Yeah, uh, we're with the pet hospital down the street, and I understand you have a dying animal on the premises",
What could be better than serving up smiles. Being dead or anything else,
So that's when Marcy told me that Julie said that Angela did like Brad,
"If you invest in a time share here on condo island, you can see your equity increase, 10 fold",
The boy knits you a sweater from his tears and you kill him,
The things that are extra fun I've written in red. Everything's in red. Yeah I know!,
"Good luck next Tuesday, I hope the audience brings lots of ibuprofen.",
"I order the food, you cook the food. We do that for 40 years and then we die. That seems like a good deal to me, what do you say?",
I wonder if a fall from this height would be enough to kill me,
"Patrick, just how dumb are you? It varies.",
"Spongebob where's my order? Did you check under the tray? Oh no, I didn't, sorry.",
"That hat makes you look like a girl. Am I a pretty girl? Oh, well, erm... you're beautiful.",
How could you trade Spongebob for 62 cents? You think I could've gotten more?,
I call it Bold and Brash. More like belongs in the trash.,
It would seem we have reach an impasse,
Oh no he's hot!,
Too bad that didn't kill me,
All bubble blowing babies will be beaten senseless by every able-bodied patron in the bar,
"If I had a dollar for every brain you don't have, I'd have one dollar.",
"Krusty Krab is unfair, Mr. Krabs is in there, standing at the concession, plotting his oppression.",
Breathe on your own time,
"Meatball, meatball. 
Spaghetti underneath.

Ravioli, ravioli
Great Barrier Reef!

Meatball, meatball
Spaghetti underneath.

Ravioli, ravioli
Give me the formuoli.",
I hope my horrible ugliness won't be a distraction to you,
Here's one somebody didn't finish. Squidward smells... goooooood.,
Oh starting contest? I thought we were having a blinking contest and I was losing,
"Puff out your chest. Now say ""tax exemption."" Tax Exemption. And now you must acquire a taste for... freeform jazz.",
"Boy, what doesn't kill you, usually succeeds in the second attempt",
